title,url,asin_code,image_url,price,rating,monthly_sales
"BERIBES Bluetooth Headphones Over Ear, 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Foldable Lightweight Headsets, Deep Bass for Home Office Cellphone PC Ect.",https://www.amazon.com/BERIBES-Bluetooth-Headphones-Microphone-Lightweight/dp/B09LYF2ST7/ref=sr_1_1?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-1,B09LYF2ST7,https://m.media-amazon.com/images/I/71F2ccIPPLL._AC_UY218_.jpg,$19.78,4.5,10K+
"NDO Wireless Earbuds Bluetooth 5.3 Headphones Sport,IPX7 Waterproof Sports Earphones with Earhooks,48H Playtime,Lightweight 7.8g,Fast Charging Case,Noise Cancelling Mic for Running Gym Workout-Black",https://www.amazon.com/NDO-Headphones-Waterproof-Lightweight-Workout-Black/dp/B0F6BFFXN8/ref=sr_1_2?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-2,B0F6BFFXN8,https://m.media-amazon.com/images/I/618l7TKQtAL._AC_UY218_.jpg,$229.99,4.8,10K+
"OneOdio F4 Retro Wireless On-Ear Headphones - Maillard Vintage Style, Hi-Res Audio Stereo Wired Headset, Dual Bluetooth 5.4, 50H Playtime, 0.25lb Lightweight, Built-in Microphone (Pearl White)",https://www.amazon.com/OneOdio-F4-Wireless-Headphones-Built/dp/B0FG36MZ34/ref=sr_1_3?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-3,B0FG36MZ34,https://m.media-amazon.com/images/I/61PBESZRmjL._AC_UY218_.jpg,$29.99,,
"Wireless Earbuds, Bluetooth Ear Buds Headphones, 40H Long Playtime, Stereo Deep Bass, LED Power Display, IPX7, Lightweight in Ear Earphone with Mic for iPhone Android Phone",https://www.amazon.com/HUIFU-Wireless-Bluetooth-Headphones-Lightweight/dp/B0F8BLKSR2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-4,B0F8BLKSR2,https://m.media-amazon.com/images/I/61KSoKjzl2L._AC_UY218_.jpg,$199.99,4.9,
"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Black",https://www.amazon.com/Sony-WH-CH520-Headphones-Bluetooth-Microphone/dp/B0BS1PRC4L/ref=sr_1_5?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-5,B0BS1PRC4L,https://m.media-amazon.com/images/I/41lArSiD5hL._AC_UY218_.jpg,,4.5,10K+
"Wireless Earbuds, Bluetooth Ear Buds Headphones with LED Charging Case, Deep Bass Stereo Sound, 40 Hours Playtime, IP7, Lightweight in-Ear Earphones for iPhone Android Sports Workout",https://www.amazon.com/JGUG-Bluetooth-Headphones-Lightweight-Earphones/dp/B0F2135G1P/ref=sr_1_6?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-6,B0F2135G1P,https://m.media-amazon.com/images/I/61n34cqsEKL._AC_UY218_.jpg,$63.85,,10K+
"eppfun LE Audio LC3 AURACAST Bluetooth 5.3 Headphones, Over Ear TV Gaming Headphones, Low Latency,Hi res",https://www.amazon.com/eppfun-AURACAST-Bluetooth-Headphones-Latency/dp/B0FGCSPGLG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-7,B0FGCSPGLG,https://m.media-amazon.com/images/I/71wUjgm9ceL._AC_UY218_.jpg,$49.00,,
"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Matte Black",https://www.amazon.com/Beats-Solo-Wireless-Headphones-Matte/dp/B0CZPLV566/ref=sr_1_8?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-8,B0CZPLV566,https://m.media-amazon.com/images/I/515FE+S4yLL._AC_UY218_.jpg,$104.19,4.6,10K+
"Wireless Earbuds, Bluetooth 5.4 Ear Buds with Multifunctional Touch Screen, ANC/ENC Noise Cancelling Headphones with 48H Playtime, Bass Stereo Sound, for Laptop, Android/iOS, Pad",https://www.amazon.com/Szwdo-Bluetooth-Multifunctional-Cancelling-Headphones/dp/B0F2FFKM2L/ref=sr_1_9?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-9,B0F2FFKM2L,https://m.media-amazon.com/images/I/615FBxRtrDL._AC_UY218_.jpg,$217.79,4.8,10K+
"Sony WH-CH720N Noise Canceling Wireless Headphones Bluetooth Over The Ear Headset with Microphone and Alexa Built-in, Black New",https://www.amazon.com/Sony-WH-CH720N-Canceling-Headphones-Microphone/dp/B0BS1QCFHX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.W2B2B9LSjiraz56Zispqgx0mKiIQuvMQtkX6KTylYQGn8DNsmEoqKBDkw8LavLcrp3vVSTrF5XpWdXmTWW_vbDh-vMbiC4S4iFOoQ0SDiBUmlWPiRZyZRSCh3xNeauG-19QfmX3OWDNVTnoZ-EVvmhchcj4QX5zeDwqWkX5FVfmQ50DOtfXp2-wX0Gi9TQdbAeqdlHLwRkqsXFrGM5XxsKVCge-ZrD_pIDk46ZSDqx0.wuSAZAA-zk0nQftaJ2c-eO7x_QHUO_zQazFlfLvkmns&dib_tag=se&keywords=wireless+headphones&qid=1753258190&sr=8-10,B0BS1QCFHX,https://m.media-amazon.com/images/I/51rpbVmi9XL._AC_UY218_.jpg,,4.4,10K+
